"lat"	"lon"
-16.152	-45.694
-17.602	-44.667
-16.152	-45.694
-24.2688	-47.4126
-24.2122	-47.4838
-24.5904	-48.275
-24.5904	-48.275
-24.7569	-48.0687
-24.2122	-47.4838
-24.2122	-47.4838
-24.3916	-47.8352
-24.5705	-48.6713
-23.547	-45.087
-24.5705	-48.6713
-24.2122	-47.4838
-23.5123	-48.8605
-24.7569	-48.0687
-24.5947	-48.2148
-24.2518	-47.2483
-24.0886	-46.7319
-23.369	-44.886
-22.657	-44.764
-23.374	-46.053
-23.363	-45.991
-22.6	-45.161
-22	-41.333
-19.6833	-48.6691
-22.6692	-53.0929
-23.9383	-50.729
-23.0243	-48.8281
-22.4489	-45.3464
-23.15	-48.2667
-22.9392	-50.2523
-23.6819	-51.3152
-17.7389	-48.4742
-21.3291	-46.5013
-21.6241	-47.8063
-22.8994	-48.3867
-22.6503	-53.0788
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-21.891	-40.709
-22.374	-41.721
-11.414	-66.396
-10.756	-65.907
-10.756	-65.907
-20	-40
-3.85	-32.45
7.5	-59.5667
7.5	-59.5667
-13	-38
-21.8967	-53.7903
-15.672	-44.637
-21.7321	-46.4229
-21.7321	-46.4229
-18.4245	-48.0653
-22.6321	-48.1675
-23.333	-48.567
-22.194	-46.379
-22.61	-45.492
-23.527	-45.762
-20.146	-46.67
-22.6734	-53.0858
-21.1931	-49.1228
-22.9414	-48.5842
-19.6833	-48.6691
-22.66	-53.085
-22.7856	-48.4815
-18.4003	-45.471
-21.302	-46.476
-6.36194	-44.3489
-23.863	-46.152
-23.863	-46.152
-23.863	-46.152
-23.863	-46.152
-24.616	-46.133
-24.616	-46.133
-23.863	-46.152
-25.058	-47.887
-25.058	-47.887
-25.105	-47.781
-25.105	-47.781
-25.105	-47.781
-15.5922	-47.6666
4.939	-75.616
-15.5978	-40.1358
-53.595	-37.097
-12.195	-64.5439
-25.521	-48.798
-22.639	-52.16
6.49	-74.411
6.404	-76.752
-13.8361	-39.8283
-14.2854	-42.676
-2.14444	-79.1225
-22.5553	-42.6947
-6.73	-51.99
-21.57	-51.6238
-3.15	-64.78
-1.97	-79.72
3.872	-76.434
-23.1997	-44.7239
-25.1503	-50.9331
-1.238	-79.673
-12.45	-64.224
-31.8708	-52.8361
-13.4312	-41.1082
-13.8492	-39.8201
-12.9896	-40.9577
-2.30345	-79.1733
-2.14444	-79.1225
-21.6785	-41.2801
-13.8894	-38.9429
6.77317	-76.7916
-9	-34.59
5.23	-74.73
5.11	-66.21
8.28	-76.97
-13.8894	-38.9429
-22.944	-50.527
-15.4526	-39.4476
-32.0885	-52.225
-18.0739	-40.5703
-13.8894	-38.9429
-13.8894	-38.9429
-15.5235	-41.5111
-6.57958	-37.2554
1.67511	-57.4768
-22.8674	-43.2243
-29.9939	-53.9369
-11.8879	-55.8698
-9.36412	-56.7793
-22.944	-50.527
-22.546	-52.028
3.872	-76.434
10.48	-67.81
-23.189	-50.966
-4.174	-53.413
-22.9868	-41.9934
-8.08294	-62.8766
-29.6686	-51.4299
-53.577	-37.869
3.522	-76.2428
6.497	-74.398
2.08174	-50.4987
-8.79278	-63.9697
-14.6314	-40.087
-32.5988	-53.2414
-18.591	-57.549
-13.8894	-38.9429
-22.8674	-43.2243
-20.3733	-40.8497
-22.639	-52.16
-21.9811	-42.8933
-13.4097	-41.6337
-14.9117	-39.1433
-21.9259	-47.3679
-22.6759	-45.6834
-31.8802	-51.862
3.881	-76.346
-14.5816	-40.0072
-14.7901	-40.1851
-14.7602	-40.0853
-3.84036	-32.4167
-14.605	-40.1026
-10.9705	-37.0537
-15.5464	-38.9612
-13.0099	-38.5322
-12.0765	-77.208
-14.337	-43.825
4.09273	-72.9424
-23.0842	-44.2356
-14.7259	-40.1284
-21.297	-50.14
1.83191	-57.0733
-7.26	-60.637
-13.474	-38.914
6.838	-75.176
-3.86533	-33.8178
-31.7784	-52.2314
-13.2975	-43.9078
-3.69	-73.27
-16.6931	-42.6858
-28.13	-54.93
-13.8894	-38.9429
7.008	-75.065
-25.4	-52.4
-3.87	-73.23
-16.277	-55.988
5.257	-75.717
-1.389	-47.985
-23.1997	-44.7239
-22.639	-52.16
-23.1997	-44.7239
-14.2022	-42.2379
-30.2869	-50.7911
6.95	-34.85
-12.0765	-77.208
-15.538	-39.008
-0.5	-90.5
-16.741	-42.571
-4.89086	-43.415
-23.1997	-44.7239
-20.331	-46.498
-23.513	-50.953
-13.8894	-38.9429
-25.55	-54.524
-13.8894	-38.9429
-4.89086	-43.415
10.47	-67.89
-4.89086	-43.415
-23.0005	-43.581
-30.2792	-50.8481
-22.639	-52.16
-29.9939	-53.9369
-21.924	-47.352
-13.8894	-38.9429
2.12126	-50.4298
-19.626	-44.489
8.019	-75.025
-5.10553	-36.6256
-24.7	-53.967
-13.2048	-76.3347
-15.915	-47.9112
-10.8628	-65.2708
-13.2747	-76.286
-10.163	-59.449
-4.552	-56.289
-9	-34.59
-29.4	-56.7008
-22.895	-43.148
-4.304	-73.521
-31.7784	-52.2314
-21.9811	-42.8933
-3.7634	-73.2458
-17.148	-43.826
-21.891	-40.709
-20.598	-49.12
-29.32	-54
3.872	-76.434
-14.605	-40.1026
-20.1167	-47.8833
-22.546	-52.028
-17.8122	-41.0403
-22.916	-49.992
-9	-34.59
-13.2562	-76.3147
-4.997	-62.994
-5.51317	-81.2787
-4.174	-53.413
-8.87017	-64.0701
-5.70333	-63.2936
-13.8894	-38.9429
-3.87	-73.23
-13.8894	-38.9429
-17.472	-43.506
-6.41494	-38.8731
-27.527	-51.785
-13.1877	-76.3624
-22.944	-50.527
5.4586	-75.654
-12.7722	-40.3473
-3.33006	-79.7114
0.158967	-79.2434
-19.7279	-42.4084
-24.2765	-47.2259
-19.934	-40.13
-30.21	-55.06
-22.944	-50.527
-26.15	-48.55
6.497	-74.398
3.68763	-59.9504
-4.552	-56.289
-3.84014	-59.1698
6.839	-75.191
5.61084	-48.1311
-26.28	-49.9267
-13.9925	-41.6922
-10.9575	-37.6745
-13.8361	-39.8283
-14.6516	-44.092
6.426	-76.763
-23.0005	-43.581
-31.8802	-51.862
-53.577	-37.869
-16.277	-55.988
-7.289	-60.636
-13.8894	-38.9429
-31.7964	-52.3946
-9	-34.59
-23.189	-50.966
-12.81	-38.64
-15.5815	-47.3425
-6.33998	-47.4106
-10.0972	-78.1714
-10.0972	-78.1714
-9	-34.59
-13.8894	-38.9429
-15.8866	-52.0423
7.189	-75.06
-14.6251	-40.0964
-7.68028	-36.0614
-23.189	-50.966
-15.5922	-47.6666
-17.9715	-38.7015
-0.415556	-62.9061
8.735	-74.465
-22.909	-49.996
6.8873	-75.1849
-10.163	-59.449
-15.476	-51.879
-53.882	-38.533
-13.474	-38.914
-14.6982	-40.0647
-12.8478	-38.632
-13.0099	-38.5322
-2.19081	-56.7084
-3.69	-73.27
-3.84014	-59.1698
-20.605	-40.4214
-16.254	-56.251
-15.4915	-39.4345
-15.4309	-39.6596
4.711	-73.085
-31.8925	-52.6568
-31.7784	-52.2314
-2.84072	-40.5776
-22.6636	-43.0867
-22.916	-49.992
-22.6636	-43.0867
-4.552	-56.289
3.872	-76.434
4.704	-73.082
15.66	114.68
6.914	-75.142
-20.6036	-41.2033
5.61084	-48.1311
5.152	-75.832
-25.058	-47.887
-13.8894	-38.9429
6.943	-75.134
-30.5406	-50.42
-29.309	-50.477
-22.936	-50.262
-14.1828	-41.0153
-19.022	-42.122
1.4425	-56.7535
-22.639	-52.16
-20.51	-42.47
-31.8053	-52.4191
-23.1997	-44.7239
-3.86678	-33.802
5.089	-75.854
5.63	-76.65
1.69086	-57.4222
-19.9965	-41.7397
-13.8894	-38.9429
-31.8053	-52.4191
-32.0702	-52.1608
-12.025	-77.085
-12.025	-77.085
6.49	-74.411
-12.286	-76.48
-12.092	-77.016
-12.092	-77.016
-27.6093	-48.386
-12.286	-76.48
7.203	-75.573
-22.9868	-41.9934
-27.5	-53.1
-24.48	-51.54
-14.6511	-39.5739
-14.604	-40.102
-6.939	-60.528
-9	-34.59
-15.768	-55.512
-7.742	-34.82
-53.67	-37.578
-30.2869	-50.7911
0.3	-89.95
-22.639	-52.16
8.22	-72.53
-22.8674	-43.2243
-16.277	-55.988
7.189	-75.06
-4.552	-56.289
-22.6636	-43.0867
-16.607	-42.829
-22.909	-49.996
-4.552	-56.289
-16.019	-47.8029
31.3548	-84.2257
3.872	-76.434
-15.6305	-47.3965
-3.16369	-59.9119
-12.2014	-64.5911
-13.474	-38.914
-12.9517	-38.355
-3.392	-58.014
-18.591	-57.549
-9	-34.59
-13.8894	-38.9429
-15.7355	-47.9185
7.162	-73.551
-13.2531	-76.3087
-15.915	-47.9112
-3.84014	-59.1698
-13.8894	-38.9429
-19	-43
4.912	-73.081
-14.8104	-40.1601
3.522	-76.2428
-15.7355	-47.9185
6.942	-75.135
-22.9868	-41.9934
-22.405	-47.812
6.577	-74.397
6.887	-75.185
-12.1144	-77.213
3.80822	-49.6713
5.32363	-47.8683
0.94908	-62.929
-9	-34.59
-9	-34.59
-10.163	-59.449
1.67511	-57.4768
-23.123	-44.729
-23.355	-44.951
-5.01556	-62.9828
-16.993	-56.436
-9	-34.59
0.251	-66.968
-18.95	-39.725
-19.86	-43.747
-18.725	-44.352
-17.984	-44.169
-15.672	-44.637
-15.672	-44.637
-19.468	-43.868
-17.984	-44.169
-19.468	-43.868
-24.191	-46.849
-24.5617	-48.6683
-23.5123	-48.8605
-24.5947	-48.2148
-24.3916	-47.8352
-24.5617	-48.6683
-24.1914	-46.849
-24.7569	-48.0687
-24.3916	-47.8352
-24.5617	-48.6683
-22.4506	-49.2408
-24.5617	-48.6683
-23.997	-46.9336
-24.7569	-48.0687
-24.5947	-48.2148
-24.5705	-48.6713
-23.442	-45.191
-23.556	-45.148
-24.144	-46.712
-23.369	-46.024
-23.369	-46.024
-23.771	-46.766
-24.2006	-48.4184
-22.786	-45.6882
-24.2006	-48.4184
-23.6747	-52.1189
-23.5764	-45.9745
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-21.891	-40.709
-11.393	-66.408
-11.267	-66.297
-11.406	-66.368
-21.824	-62.917
-11.393	-66.408
-11.658	-67.316
-21.26	-63.544
-20.236	-48.678
3.80822	-49.6713
-9.778	-59.398
-3.85	-32.45
3.01905	-49.7378
7.66667	-59.2333
7.66667	-59.2333
7.65	-59.3
7.5	-59.5667
7.51667	-59.55
-22.7734	-53.2797
10.48	-67.81
-15.672	-44.637
-15.672	-44.637
-17.1196	-48.7399
-17.1196	-48.7399
-22.7914	-53.3494
-15.7369	-47.9151
-23.682	-51.315
-22.6503	-53.0788
-20.6206	-49.8946
-25.4198	-54.5356
-22.7914	-53.3494
-23.3333	-48.5667
-15.6303	-56.0631
-16.1183	-57.7425
-23.5819	-45.9669
-17.7389	-48.4741
-20.956	-43.763
-22.6397	-48.0531
-22.64	-48.053
-23.886	-51.591
-26.352	-45.139
-24.055	-46.341
-23.506	-45.034
-23.863	-46.152
-23.863	-46.152
-25.058	-47.887
-16.466	-58.153
-3.16	-72.25
-22.639	-52.16
-2.94	-44.2408
-4.87472	-43.3469
-2.30345	-79.1733
-19.6174	-42.796
-5.42	-74.5
-22.944	-50.527
-5.63333	-81
6.378	-75.14
-13.1877	-76.3624
-13.8894	-38.9429
-22.639	-52.16
-13.4041	-41.6354
-31.2917	-51.0815
-19.9653	-44.2804
-28.8417	-50.3
-22.227	-42.444
-22.639	-52.16
-24.7061	-51.7208
-23.513	-50.953
0.2442	-67.0586
-22.41	-47.4
-13.8894	-38.9429
-22.944	-50.527
7.052	-75.084
-14.6373	-40.0583
-22.6636	-43.0867
-14.351	-43.788
-3.814	-52.637
-25.621	-52.6208
6.404	-76.752
8.707	-74.523
7.335	-75.027
5.597	-75.836
-20.9253	-40.7536
-23.124	-52.451
-22.936	-50.262
-9	-34.59
-9	-34.59
-7.289	-60.636
-20.146	-46.67
-13.442	-53.146
-9.36412	-56.7793
6.838	-75.176
6.943	-75.134
-7.1	-38.49
-19.8258	-40.6572
-2.94	-44.2408
-23.124	-52.451
7.1625	-73.551
0.96902	-61.9006
-31.7133	-52.3008
-27.6093	-48.386
-16.599	-42.835
-29.3983	-49.9179
-23.189	-50.966
-22.639	-52.16
4.764	-73.292
-0.815278	-46.5942
-29.8218	-50.0664
-15.591	-39.8765
-15.2755	-40.6263
15.76	113.87
-20.925	-40.7533
-14.69	-39.1933
-31.7784	-52.2314
-19.9343	-40.13
-22.6636	-43.0867
-15.591	-39.8765
-15.5058	-47.9784
-22.03	-43.137
-22.639	-52.16
-14.6373	-40.0583
2.08174	-50.4987
-21.69	-52.48
-23.071	-50.362
-1.6909	-57.4223
-14.8104	-40.1601
3.55374	-61.6242
-0.5435	-52.6803
6.577	-74.397
-11.947	-77.164
-2.175	-58.174
-3.69	-73.27
-14.832	-40.103
-32.0702	-52.1608
-3.87	-73.23
-9	-34.59
-13.255	-76.3059
-2.175	-58.174
-22.639	-52.16
-20.046	-41.735
-24.9206	-50.0094
-9.454	-64.416
-3.428	-52.228
-25.16	-50.51
-14.6832	-39.4526
-4.552	-56.289
7.008	-75.065
6.718	-75.856
-1.238	-79.673
-14.3427	-39.463
-10.098	-78.182
-0.860917	-48.1277
